fecha	hora	real	programado	desviacion	porcentaje
2016-01-14	21	8790,895389	2260,0	-6530,895389	-288,9776720796460200
2016-01-14	22	9237,403609	2299,5	-6937,903609	-301,7135729071537300
2016-01-14	23	9195,420594	2305,2	-6890,220594	-298,8990366996356100
2016-01-14	24	8780,219575	2290,7	-6489,519575	-283,2985364735670300
2016-01-15	1	8233,791933	2159,7	-6074,091933	-281,2470219474927100
2016-01-15	2	7828,49872	2130,7	-5697,79872	-267,4144046557469400
2016-01-15	3	7528,178999	2113,4	-5414,778999	-256,2117440617015200
2016-01-15	4	7346,086835	2116,2	-5229,886835	-247,1357544182969500
2016-01-15	5	7292,696054	2112,9	-5179,796054	-245,1510272137820100
2016-01-15	6	7394,939008	2105,1	-5289,839008	-251,2868276091397100
2016-01-15	7	7539,628775	2124,5	-5415,128775	-254,8895634266886300
2016-01-15	8	7628,263074	2106,2	-5522,063074	-262,1813253252302700
2016-01-15	9	8202,220221	2072,4	-6129,820221	-295,7836431673422100
2016-01-15	10	8725,672826	2074,1	-6651,572826	-320,6968239718432100
2016-01-15	11	9024,111318	2070,6	-6953,511318	-335,8210817154448000
2016-01-15	12	9216,98069	2067,3	-7149,68069	-345,8463062932327200
2016-01-15	13	9248,658472	2059,5	-7189,158472	-349,0730017965525600
2016-01-15	14	9316,408183	2053,8	-7262,608183	-353,6180827247054200
2016-01-15	15	9368,517633	2048,5	-7320,017633	-357,3354958750305100
2016-01-15	16	9260,231185	2072,9	-7187,331185	-346,7283122678373300
2016-01-15	17	9645,107001	2082,0	-7563,107001	-363,2616234870317000
2016-01-15	18	9175,702761	2087,4	-7088,302761	-339,5756807990802000
2016-01-15	19	8862,337263	2095,7	-6766,637263	-322,8819613017130300
2016-01-15	20	8760,078685	2129,8	-6630,278685	-311,3099204150624500
2016-01-15	21	8732,767254	2169,0	-6563,767254	-302,6172085753803600
2016-01-15	22	9187,625521	2208,9	-6978,725521	-315,9366888949250800
2016-01-15	23	9160,893937	2209,4	-6951,493937	-314,6326575993482400
2016-01-15	24	8880,429655	2195,1	-6685,329655	-304,5569520750763100
2016-01-16	1	8509,090633	2142,9	-6366,190633	-297,0829545475757200
2016-01-16	2	8048,913403	2114,2	-5934,713403	-280,7072842209819300
2016-01-16	3	7729,051486	2095,7	-5633,351486	-268,8052434031588500
2016-01-16	4	7561,685631	2098,5	-5463,185631	-260,3376521801286600
2016-01-16	5	7453,005386	2095,2	-5357,805386	-255,7180882970599500
2016-01-16	6	7374,244905	2087,0	-5287,244905	-253,3418737422137000
2016-01-16	7	7393,111441	2106,3	-5286,811441	-250,9999259839529000
2016-01-16	8	7374,549609	2088,6	-5285,949609	-253,0857803792013800
2016-01-16	9	7704,087406	2049,5	-5654,587406	-275,9008248841180800
2016-01-16	10	8204,822578	2062,3	-6142,522578	-297,8481587547883400
2016-01-16	11	8542,55776	2059,7	-6482,85776	-314,7476700490362700
